make	maker, manufacturer
send	sender, server, subscriber
mean	
change	change, citizen, creator
kick	kick, kicker
wing	
hide	hacker
dig	dig, diver, digging
sing	singer, song
mention	
mail	mail, mailing
announce	announcer, announcement, analyst, author, ambassador
cook	cook, chef, cooker
fly	fly, flyer, flight
clean	cleaner, clean, cleaning, contractor
stick	stick, scientist
cap	cap, curator, collector, creator
order	orderly, order, organizer, officer
watch	
receive	recipient, receiver
sink	sink, sewer, sinking, scientist, sunk
unlock	user
wash	worker, wash, washing
achieve	activist, artist, agent, administrator
drive	driver, designer, developer
shut	shutdown
fake	fake, fraud
notice	
turn	
live	living
spot	scientist
afford	artist, accountant
walk	walk, walking
experience	empath, experience, explorer
bite	bite, bug, biting, beetle, bitten
allow	anarchist, atheist, artist, agent, architect, activist, author
move	move, machine
grow	garden
push	programmer, physicist, promoter
google	google, geek
leave	
shove	shove
choose	consumer, creator, curator
shoot	shooter, sniper
question	
pick	pick, person
deny	denial
join	join
witness	witness
demand	demand
follow	follower, following
require	robot
release	release
decide	democracy, director
kiss	kiss, kissing, kissed
punch	punch, person
consider	critic
guarantee	guarantee
invent	inventor, invention, individual, intellectual
teach	teacher, theorist
book	book, bookstore
wreck	
refuse	refuse, refusal, resistance
plan	planner, plan, programmer, politician
fuck	fuck
ask	astronomer, activist, analyst, atheist
create	creator, creative
pay	person, producer, poor
match	mathematician
bottle	bottle
accomplish	administrator, agent, artist, activist
bear	bear, bearing, borrower, bearer
repeat	
meet	manager
fold	fold, folding, folded, folds
hack	hacker, hack
help	helper, humanitarian
defend	defender, defense
rock	rock
guess	guess
sense	scientist, sense
work	worker
cover	correspondent, columnist
sweat	sweat, scientist
paint	painter, painting, paint, person, photographer, professional
record	recorder, reporter, researcher
confirm	chemist
block	blocker, block
fire	fire, firefighter
fill	
notch	
cross	cross, collaborator, crossing
screw	screw
draw	drawing, designer, draw
declare	declaration, designer
bake	baker, bakery, bake, baking, baked, brewer
replace	robot, replacement
spoil	spoiler
quit	quit, quitting
provide	provider, person, programmer, professional
Google	google
spin	scientist, spin
hurt	hacker, hack
force	force
lick	lick, licking
delete	deletion, developer, delete, director
blame	blame, blogger
let	
melt	melt, magician, melting, microwave
lock	lock
reject	radical, reject, revolutionary
pop	pop, programmer, producer
play	player, performer, person, programmer, professional
brew	brewer, brewery, brew, beer, bartender, brewing
shout	shout, speaker, shouting, spokesperson
toss	toss, trash, thief, troll
seal	seal, sealing, scientist
patent	patent, person, publisher
bury	burial
become	
rip	rip
cast	cast, caster, casting, critic
marry	marriage
realise	
request	request, recipient
wipe	wipe, worker, wiping
reach	
ace	architect, artist, author, administrator, analyst, astronomer
define	designer, dictionary
figure	
fail	failure, failing, fail, fool, failed
recommend	reviewer, recommendation
confess	confession, conscience, christian
describe	designer, dictionary
execute	engineer, employee, execution, executive
knock	knock, knocking
sue	suit, sued, sue
cry	critic, curator
scratch	scratch, scientist
crash	crash
fry	fry, fish, frog, farmer
copy	copy, clone, creator
sling	sling, sender
made	maker
swipe	swipe
cop	cop, collector, citizen, consumer
design	designer, design, developer
celebrate	critic, celebration, curator, creator
collect	collector, curator, collection, citizen, collective, consumer
produce	producer, programmer, person
wield	witch, warrior
set	scientist
reveal	reporter, researcher
remove	robot
surpass	scientist, superhuman
swear	scientist
donate	donor, donation
sort	supervisor, scientist
inherit	inventor, individual, inheritance
prefer	person, philosopher, programmer
snatch	snatch, steal, stealing
conquer	creator
protect	protector, person, professional
found	
top	top
risk	risk, rogue, researcher
leak	leak, leaking, liar, leaked, leakage
ignore	idiot
veto	veto
did	designer, developer, director
discuss	
coin	coin, creator, collector
flush	flush
spend	
perfect	programmer, philosopher, professional
track	tracker
retrieve	receiver
defeat	
chuck	chuck, curator, collector
float	float, floating
embrace	educator
hang	hang, hanging, hung, holder
return	receiver, recipient, return
manufacture	manufacturer, maker, machine
flip	flip
resist	resistance, revolutionary, rebel, radical
scar	scar, scientist, surgeon
overcome	
sniff	sniff, scientist
launch	leader
drown	drowning, diver, dam, destroyer, drown, drowned
forbid	fascist
got	
clear	critic, cleaner
avoid	administrator, agent, activist, anarchist, artist
succeed	success, scientist
put	person, programmer
edit	editor, engineer, encyclopedia, edit
check	
capture	curator
endure	employee, engineer, empath
bust	bust
seize	
head	head
climb	climb, climbing
decrypt	
justify	
master	master, mathematician
implement	implementation
introduce	inventor
recover	recovery, researcher
light	light, led, lamp, lantern
promise	psychic, prophet, person, promise, promoter, politician
hump	hacker
pack	pack, planner, packing, professional, person
fit	
support	supporter
resolve	referee
supply	supplier
chew	chew, chewing
slice	slice
lead	leader, leadership, lead
ship	ship, salesman
tackle	team
prevent	politician, policeman, person, physician, planner, programmer
narrow	
fund	
loose	loose, libertarian
repair	repair
milk	milk, manager
present	presenter, professional
welcome	writer
cure	cure
tweet	tweet, troll, twitter
beg	
wrap	wrap, wrapping, wrapper
haunt	hacker, haunt, haunting, haunted
stand	scientist, stand
pursue	philosopher, person, programmer, project
fear	fear
brave	brave
trust	trust, trusting
cool	creator
recognise	researcher
summon	shaman, summon, sorcerer, summoning, spirit
offer	
shatter	scientist
acknowledge	atheist, artist, activist, astronomer, author
press	press, publisher, producer, person
honor	honor, historian
treasure	treasure, thief
photograph	photographer, professional, photograph, painter, person, photographic
ban	ban, bigot
squash	scientist, squash
reap	recipient
trade	trader, trade, thief
fuel	
forge	forge
forgive	forgiving, forgiveness, friend
shred	shred
organize	organizer, organization, operator, orderly
rescue	rescue
approve	administrator, author, agency, agent, activist, advocate
correct	critic, correction
study	scientist, scholar
whisper	whisper, whispering, writer
raise	revolutionary
serve	servant, scientist, service
predict	physicist, planner, psychologist, programmer, prediction
erase	engineer, editor
document	
needed	
utter	
control	communist, creator
nab	
spit	spit, spitting, sponge, spat, slug
DO	director, developer, designer
contain	curator, creator, constructor
rebuild	rebuild
recall	researcher, recorder, recall, reader
slit	scientist, slit
look	
swim	scientist
dream	dream, dreaming, designer
tame	tyrant, teacher
plug	programmer, plug
unleash	
cause	creator, chemist, cause
unveil	
ski	scientist
expose	
foil	foil, fool
spell	spell, spelling
settle	
worth	worker
storm	storm, strategist
finance	
waste	waste, wasting, wasteful
blast	blast
tolerate	
better	
needs	
surf	scientist
retake	
dare	dare
heal	healer
crave	consumer, craving, customer
fetch	fisher, fetch, fisherman
mind	mind
hand	helper, hand
come	creator
sew	seam, sew, sewing, sewer
enforce	employee, executive
snap	snap, snapping
sneak	sneak, spy, suspect
wish	wish, witch, writer
spike	spike, scientist
thin	thin, tailor, thinner
judge	judge
race	race, racer, racist
arrange	architect, administrator, artist, agent
bag	bag, backpack
voice	voice
hug	hug, human, hugging
split	split
film	filmmaker, film
install	installer
continue	creator, continuation
hatch	hatch
stub	scientist
whip	whip, worker
speak	speaker
equal	equal, engineer, economist, entrepreneur, egalitarian
thank	thank, thanking
fork	fork, farmer
drain	drain, diver, developer, destroyer
shape	scientist
skip	skip
weigh	
butcher	butcher, baker
proclaim	prophet, philosopher, preacher, person
recreate	
go	
type	type
sail	sailor, sail, socialist, ship
text	text, translator
chance	creator
rape	rapist, rape
die	designer, developer
score	scorer, score
hunt	hunter, hunt, hunted
grasp	
adopt	agent, activist, adoption, advocate, administrator
legalize	legislator, lawyer, lobbyist, libertarian, lawmaker, law
pronounce	philosopher, person, poet, professional
imagine	inventor, imagination, intellectual, individual
exhaust	engineer, employee, expert, exhaust, entrepreneur, end
slay	shaman
upload	user, upload
add	architect, artist, addition, additive
patch	programmer, patch
police	policeman, police, person
rub	rub, rubbing
promote	promoter, politician, person, philosopher
restore	restoration, restore
reverse	researcher, reverse
stab	stab, stabbing, shooter
suffer	slave, suffering
absorb	artist, auditor, actor, administrator
pin	pin, programmer, person, physicist, planner
expect	expectation, expect, expert, expected, economist
lift	lift, lifting, leader
suggest	scientist
begin	builder
curse	curse, cursed, caster, creator
dye	dye, designer
charm	charm, caster, clown, comedian
submit	submission, sender, subscriber
right	
pitch	promoter, pitch, programmer, producer
endorse	endorsement
suspect	suspect, scientist
strike	strike, striking, scientist
undo	user
translate	translator, translation, translate, translating, translated
attack	attacker, anarchist, attack, architect, agent, analyst, activist, adversary, actor, artist
eliminate	entrepreneur, expert, engineer
decipher	detective
respect	
rename	rename
bless	blessing, believer
scream	scream, speaker
download	developer, download
wind	wind, witch
email	email, employee, editor, engineer
redeem	
mark	mark, marker, marking
protest	protester, protest, philosopher, punk, person
rough	
dread	
borrow	borrower, borrowing, borrow, borrowed
skin	skin, surgeon
challenge	critic
identify	inventor, investigator, individual
command	command, controller, commander, computer
knit	knit, knitting
license	licensee, license
tear	thief, tear
blog	blogger, blog, blogging, bloggers
toast	toast
resent	rebel, reactionary, racist
fancy	fancy, fool
analyze	analyst, academic, astronomer, artist, analytical
shoulder	shoulder, servant
LOVE	lover
apply	artist, architect, author, agent, academic
for	
tie	tie, theorist
dismiss	
trigger	trigger
freeze	freeze, freezer, frozen
salvage	salvage, survivor
deploy	developer, dev, designer
oppose	opposition, opponent
disclose	disclosure
cancel	cancellation, cancel, creator, chemist, constructor
land	
admire	artist, amateur, admire, academic, astronomer
validate	
revive	revival, researcher
interpret	interpreter, interpretation, intellectual
swing	swing, scientist
choke	choke, choking, cook
decode	
sport	sport, spectator
GET	
scrap	scrap
don	designer
sleep	sleeper, sleep, sleeping
shake	scientist
hope	
sabotage	sabotage, subversive
trash	thief, trash
slap	slap
had	
log	log, logger
vomit	vomit, vomiting, virus, vacuum
last	legacy, leader, last
process	philosopher, person, programmer, psychologist
plant	plant, person, producer, planting
develop	developer, designer
murder	murderer, murder, monster
spring	scientist
mend	mechanic, monk, musician, minister, mend
seek	seeker, scientist, search, scholar, self
cherish	collector, curator, citizen
stink	stink, smoker
maintain	manager
yell	
encourage	educator, entrepreneur
back	
repeal	repeal, republican
NEED	
roll	roll, roller, rolling
measure	mathematician, measure
click	creator, computer
tweak	
carve	carving, carve, cutter, creator
nick	
rule	ruler, rule
reclaim	revolutionary, radical
sustain	scientist
express	editor
burst	burst, bubble
practice	practitioner, philosopher, person, professional
bend	bend
deserved	designer, developer
disguise	disguise, designer
damn	devil
represent	
perform	person, professional, performer
rent	rental, rent, renting, roommate
charge	consumer, charge, customer, collector, capitalist
owe	owner, owed, officer
gain	
outlaw	outlaw
store	store
bluff	bluff
count	count, counting, collector, clerk
pocket	pocket, person
frame	filmmaker, frame
review	reviewer, review, researcher
demonstrate	demonstration, designer
dominate	dictator, dominant
rain	
topple	theorist, tyrant
improve	inventor, individual
convert	convert, conversion, converter, creator, christian, converted
horn	hacker
weather	weather, writer
slow	scientist, slow
curl	curl, caster, compiler
volunteer	volunteer, volunteering, voluntary
research	researcher
not	
laugh	laugh, laughter, laughing
counter	critic, counter, chemist
breathe	breathing, breathe, breath
gut	gut
grill	grill
feed	farmer
abuse	abuser, administrator, abuse, agent, addict, authoritarian, abusive, anarchist, artist
bore	bore, bear
obtain	object, owner
swell	scientist
snag	
ice	inventor, ice
repay	repayment
wave	
lack	lack
power	power, politician, programmer, person
desire	desire
clone	clone, creator
pipe	pipe, programmer, pipeline, producer, physicist, poet, person
grade	grade, grading
adore	artist, atheist, amateur, artisan, astronomer
soften	
propose	philosopher, physicist, programmer, proposal
nails	
saw	scientist
paddle	paddle, padd, painter, pilot, person
direct	director, designer
escape	exile, escape
smack	smack, slap
wet	wet, worker
initiate	initiate, inventor, individual
jump	jumper, jump, jumping
replicate	researcher
contribute	contributor, contribution, creator, citizen, collaborator
retire	retirement, retire, retired, retiring
host	host, hosting, house
refute	researcher
underestimate	underestimate
surrender	servant, surrender, slave
intercept	intercept, interception, insider, intruder
detect	detector, detective, designer
compile	compiler
load	loader, load
ditch	designer, destroyer, ditch
mount	mount, man
arrest	activist, anarchist, agent, arrest, attorney, artist
lament	lament
embody	
regain	restoration, recovery
about	analyst, author, artist, activist, academic, astronomer
abandon	anarchist, atheist, artist, activist, abandonment, adventurer
exploit	exploit
on	observer
inspire	inventor, inspiration, individual
engineer	engineer, entrepreneur, expert, economist, employee
enable	engineer, entrepreneur, economist
rewrite	rewrite
note	
recite	recorder
enter	engineer, entrepreneur
talk	ted
trumpet	
scrape	scrape, scraping, scientist
dodge	dodge, diplomat
with	worker
debate	
remake	remake
refine	researcher
guard	guard, guardian
secure	security, secure
chase	chase
verify	
mourn	mourning, mourn, musician
permit	person, philosopher, permit, programmer
LIKE	
time	timer, time
sack	sack, supervisor
address	activist, administrator, artist, analyst, architect, advocate
sacrifice	sacrifice, socialist, saint
duplicate	duplicate, designer, duplication, developer
sponsor	sponsor, supporter, sponsorship
spread	scientist, socialist
assume	agent, actor, author, analyst, assumption
explode	explosion, explosive, exploding, engineer, exploded, expert
slam	slam, scientist, speaker
dunk	designer, dictionary, developer
cheer	critic, cheer
divide	division, divide, developer, designer, dictator, definition
best	
warrant	writer
dissect	
uncover	
seem	scientist
resurrect	resurrection, researcher
zip	zip
air	artist, activist, actor, agent, author, anarchist, air
pour	pour, poured, poet, pouring, philosopher, person
rethink	researcher
approach	artist, architect, analyst, agent, academic
wrench	wrench, worker
investigate	investigator, individual
crown	crown, creator
iron	iron, individual, inventor, inspector
misuse	misuse, magician
ink	ink, inventor, individual
shed	shed, scientist, self
phone	phone, person, professional, programmer
fumble	
mix	mix, mixer, mathematician, mixture, maker
makes	maker, machine
suffice	scientist
award	award, awarding, administrator, agent, artist, ambassador
tap	tap, tapping, thinker
advertise	advertisement, agent, artist, agency, author, ad
determine	designer
retweet	retweet, rt
withstand	warrior, worker
explore	engineer, explorer
dismantle	developer
visualize	visionary, visualization, visual
boycott	boycott, blogger
digest	
include	individual, inventor
argue	academic, analyst, argument, advocate, activist, author
preserve	philosopher, preservation, person
foot	foot
qualify	
inject	injection, inject, inventor
encounter	explorer
dispute	dissent, disagreement
shine	shine, star, shining
commit	commit, compiler, collaborator, creator, contractor
MAKE	maker, machine
cost	consumer, capitalist, cost, customer, collector
bang	bang, builder
appropriate	administrator, artist, architect, artisan, ant
implant	implant, inventor
ring	ring
chant	chant, chanting, composer
hail	hacker
cement	contractor, creator
knew	
bar	bar
chop	chop, cutter, chopping
fulfill	
gift	gift, giving
switch	switch, supervisor
stain	stain, servant
shorten	shrink
form	
stomach	stomach, scientist
purchase	purchaser
hire	hire
twist	theorist
mine	miner, mine, mining, musician
bomb	bomb, bomber
salute	saint
trademark	trademark
crank	crank
done	designer, developer, director
style	style
boil	boil, boiling, boiler, boiled, brewer
gets	
enlarge	economist, engineer, entrepreneur
overlook	observer
articulate	artist, author, activist, academic, analyst
pump	pump, producer, pumping, painter
won	
slip	slip
said	scientist
hammer	hammer, hacker
merit	merit
fall	
file	file
clutch	curator, collector
hook	hook, hacker
of	observer
chip	chip, computer
display	designer, display
lost	
coach	coach, coordinator
bet	bet, broker
mouth	mouth
ensure	engineer, employee, executive
flash	flash
possess	possession, person, property, producer, possessed
picture	painter, photographer, picture, philosopher, person, programmer
suit	scientist
lay	lay
sound	sound, scientist, speaker
organise	organizer, organisation, organization, operator
reopen	
pinch	pinch, person, painter
tip	tip, tipping, trader, theorist
administer	administrator, admin, agent
double	double, designer, developer
rescind	
scale	scientist, scale
does	designer, developer, director
heat	heater, human, heat
strut	strut
agree	author, architect, administrator, anarchist, astronomer, artist
snow	scientist, snow
search	search, scientist, seeker, scholar
calculate	calculator, computer
grind	grind, grinding, grunt
deserves	designer, developer
shovel	shovel
activate	artist, agent, activist, actor, administrator, architect
strengthen	scientist
attain	artist, activist, artisan, agent, anarchist, architect
reinvent	revolutionary
grate	
happen	
SEE	scientist
generate	
rap	rapper, rap, revolutionary
wonder	wonder, writer
torch	torch, thief, terrorist
down	developer, designer, director
visit	visitor, visit
ID	id, investigator, identifier, individual
surprise	scientist, surprise
rush	rush
debunk	
muscle	muscle, machine, muscular, man
condemn	critic, communist, condemned
peel	peel, painter, producer, person
starve	socialist, starving, starvation
clinch	
concede	critic
employ	employee, entrepreneur, economist, engineer
consume	consumer, consumption, customer
shrink	shrink, scientist, surgeon
invite	inventor
guide	guide, guru
poop	poop, professional, person, pig, poo
honour	honour, historian
fish	fisherman, fish, fisher, farmer, fishing
flavor	flavor
bridge	bridge
juice	juice
convince	
wire	wire, worker
warm	warm, worker, warmer, warmth
embarrass	embarrassment, editor
bike	bicycle, bike
bowl	
compose	composer, creator
graduate	
making	maker, manufacturer
expand	entrepreneur, engineer, economist, educator
sketch	sketch, scientist
furnish	
dislike	dislike
preach	preacher, pastor, priest, prophet
acquire	artisan, agent, artist
park	park, parking, person
in	individual, inventor
prepare	planner, professional, programmer
stone	stone
authorize	agent, author, authority, administrator, authorize, authorized
rank	rank, researcher
stretch	scientist, stretch
poison	poison, person
scrub	scrub, sponge
feather	feather
grant	grant, gift, government
tow	
bung	
will	
shave	shave, shaving, surgeon
after	architect, artisan, artist, agent, administrator
trick	trick, thief
doing	developer, designer, director
stir	stir, stirring, scientist
confront	critic
assemble	architect, artist, artisan
comprehend	
collapse	collapse, communist, critic
bump	builder
stagger	scientist
stitch	stitch
restart	restart, reboot
lower	leader
bank	bank, banker, borrower
nut	
shift	scientist, strategist
applaud	atheist, activist, artist, anarchist, advocate, applaud, actor
liberate	libertarian, liberation
dot	dot, designer, developer
disable	developer, disabled
eradicate	extremist, entrepreneur, enemy, expert
overturn	outsider
bleed	bleed
issue	individual
size	scientist, size, shrink, smallest
glue	glue
struggle	socialist, struggle
unravel	
likes	
mute	mute, musician
dress	designer, dress, dressing
empty	empty, emptiness
roast	roast
never	
pray	priest, prayer, pastor, praying, preacher, pray, person
HAVE	hacker
stuff	
KILL	
harvest	harvest, hunter, harvesting
censor	censor, critic, censorship, communist
oversee	official, officer
denounce	
just	
regulate	regulator, regulation
widen	
through	thinker, theorist
combine	creator, collaborator, collective
nailed	
git	git, geek
exceed	engineer, entrepreneur, expert, extraordinary
battle	battle
excuse	excuse, expert, examiner
insult	insult, idiot, intellectual
spark	spark, scientist
steer	strategist
OK	organizer
conclude	
list	list
has	
crest	creator
smooth	supervisor, smooth
me	maker
compute	computer, computation
proof	physicist, philosopher, proof
color	color, creator
missed	
tattoo	tattoo
hike	hike, hiking, human
ate	artist, architect, artisan, agent
green	green, greenhouse, garden
diffuse	diffuse, diplomat, director, developer
mock	meme, mock
slide	scientist
Make	maker
stroke	stroke, scientist
monitor	monitor, manager
brick	brick, builder
Tweet	tweet, twitter, troll
blaze	
ponder	philosopher, psychologist
getting	
stock	stock, store, seller
shit	scientist
fuse	fuse, fusion
scan	scanner, scientist, scan, scanning
recycle	recycling, recycle
piece	puzzle, piece, programmer
modify	mathematician, maker
water	worker, well, water
locate	
peg	peg, programmer, physicist, puzzle
heed	
brown	brown
retract	
over	operator
squeeze	squeeze, squeezing
jam	jam
obey	officer, observer, order, official
sip	scientist
muster	
gas	
stay	
stalk	stalk, stalking
mash	mash, maker, mixer, musician
adapt	architect, artist, adaptation, administrator
deflect	distraction, diplomat, deflect, director
despise	
bind	bind, binding, bound
bit	
redesign	redesign
reconsider	researcher
slug	scientist
bolt	bolt
rest	rest
poke	poke, prick
bullshit	bullshit
criticize	critic, criticism, critique, commentator
clarify	critic
cash	customer, cash, capitalist
round	round
stamp	stamp, scientist
knows	
drag	drag, dragging, diver, designer
fine	
throttle	
lend	lender, lend, lending, loan
renew	renewal
dump	dump, dumping, developer
used	user
plot	planner, programmer, plot, physicist, politician
increase	inventor, investor, individual
link	link
broadcast	broadcaster, blogger, broadcast
sweep	sweep, sweeping, sweeps, swept
plead	philosopher, programmer, person
dish	dish
weld	weld, worker, welding
smear	smear, sham
betray	betrayal, betrayed
buckle	
box	box
praise	praise, poet, preacher, priest, person
complicate	consultant, critic
trace	tracker, trace, theorist
sample	scientist
transmit	translator, transmitter
foresee	
nickname	nickname
retain	
pee	pee, pet, person, piss, penis
spawn	startup, scientist
temper	temper, theorist, teacher
analyse	analyst, academic, astronomer, artist, author
threaten	threat, terrorist, traitor, thief
skate	skate
pardon	pardon, philosopher, politician, patriot, person, president
reboot	reboot
tax	tax, taxpayer, thief, treasurer, trader
dedicate	donor, director
discharge	delegate, director, discharge
okay	organizer, observer
dim	developer, designer, dim, director
connect	connector, curator, creator, collaborator
FIX	fix
dry	dry, drying
ration	ration, regulator
darn	designer, developer, director
at	architect, artist, analyst, artisan
weaken	weak
remedy	remedy
divert	diversion, diver, director, distraction, developer, devil
bat	
complement	complement, collaborator, creator
alter	activist, artist, administrator, architect, agent
polish	painter, professional, polish, programmer
deem	designer, director
contest	critic
dub	designer, dictionary
game	game, gamer
torpedo	torpedo, traitor, terrorist
pot	programmer, physicist, philosopher, pot
blend	blend, blending, blender
tough	
pound	pound, programmer, person
silence	silence, speaker
piss	programmer, person, protester, piss
conceal	criminal
spray	spray, shooter, sniper
yield	
if	inventor, individual
bark	bark, bear
sit	scientist, servant, secretary, server
defy	
wheel	
microwave	microwave, magician
earned	entrepreneur, engineer, employee, economist
exhibit	exhibit, exhibition, educator
commemorate	curator, collector
flood	flood
panic	panic, programmer, physicist, planner, psychic, paranoid
plate	programmer, producer, person
chose	curator, creator, consumer
dwarf	designer
communicate	
befriend	
trump	
tire	tire, tyre
forfeit	forfeit
combat	critic, communist
STOP	scientist
abort	abort, agent, anarchist, activist, atheist
date	date, designer
Try	
stage	stage
title	title
frost	
nurse	nurse, nursing
examine	economist, expert
integrate	integration, interpreter, individual
tease	tease, troll, thief
stream	stream
signal	scientist, signal, speaker
label	label
crumble	critic, crumble, constructor
bum	
trim	trim, technician, tree
pinpoint	person, physicist
channel	channel, creator, conduit
pawn	pawn, pirate
ignite	inventor, individual
blew	
boot	boot
pirate	pirate, piracy, pirates, pir
pave	paving, politician, pedestrian, planner, professional
bully	bully, bigot
accelerate	accelerator, architect, author, administrator, activist, academic
overthrow	
value	value
weave	weave, weaving, witch, woman
envision	engineer, economist
claw	claw, communist
contemplate	critic
register	register, registrar, registry
slaughter	slaughter
whistle	whistle, whistleblower
market	merchant, market
cave	creator
ready	
distribute	distributor, distribution
extend	extension, engineer, entrepreneur, economist
treat	therapist
nod	
hoard	hoard
brake	brake
stumble	scientist
disappoint	disappointment, disaster, designer, director, disappointed
fixed	
spur	scientist
next	
upset	user
bleach	bleach
vote	voter, vote
emulate	educator, engineer, example
bash	bully, bash
dent	designer, dent, diver
prosecute	prosecutor, prosecution
champion	champion, critic
stunt	stunt, scientist
contact	contact, consumer
breed	breed
death	designer, developer, director
mastermind	mastermind, mathematician
scoop	scoop, sponge
breach	breach
gather	
wax	wax, worker, witch
eclipse	eclipse, engineer
brush	brush, broom
steel	steel, soldier
observe	observer, observing, observation
liked	
sting	scientist
broke	
dispatch	dispatcher, dispatch
beam	beam
wanted	worker
Get	
accompany	artist, agent, artisan, architect, author
revisit	researcher, retrospective
utilize	user, utilitarian, utility
encrypt	engineer, expert
divine	divine, deity
fade	
punish	punishment, person
decline	designer
glass	glass
smile	smile, smiling, smiles
operate	operator, officer
separate	separation, scientist, specialist
concoct	chemist, creator, creative
damage	designer, developer, destroyer
dab	designer, developer
cloud	cloud
access	agent, administrator, activist, artist
patrol	policeman, patrol, police, person, professional
thwart	thief, traitor
recount	reporter, reader
navigate	
price	price, producer
hole	hacker, hole
model	model, mathematician
prescribe	physician, psychiatrist, psychologist, practitioner, philosopher
scalp	scientist
pair	pair, programmer, pairing, partner, person
maybe	mathematician
surface	scientist
affect	activist, artist, agent, administrator, architect
strip	stripping, strip
free	free
derive	designer, developer
latch	legislator
imitate	imitation, inventor, interpreter
sand	sand
doom	doom, disaster, devil, director, destroyer
deed	deed
egg	engineer, entrepreneur, economist, expert
showcase	speaker
harness	
Do	director, designer, developer
bad	
killed	
illustrate	illustration, interpreter
filter	filter
step	scientist
kid	
urge	
violate	vandal, violation
lease	landlord, lease, llc, leasing
is	individual, inventor
key	
nurture	nurturing, nurture
sever	sever, sorcerer
enact	executive
intend	inventor, individual
ingest	individual
blur	blur, blender, blogger
prick	prick, physicist, painter, programmer, philosopher, person, producer
reform	reform, radical, revolutionary
bookmark	bookmark, blogger
can	creator
spare	spare, saint
haul	haul
hurdle	hacker, hurdle
quite	
realized	researcher
essay	essay, editor
shop	shop, seller, salesman
populate	programmer, person
dust	dust
invest	investor, investment, individual, inventor
highlight	historian
grit	
terminate	termination
script	script, scientist
seen	scientist
gasp	
perpetuate	parasite, philosopher, person
update	user
but	
delay	delay, developer, designer, delaying, delayed, director
travel	traveler, traveller, tourist, travel, traveling
mess	mess, manager
dance	dancer, dance, dancing, dj, drummer
dictate	dictator, director
spew	spew, speaker
manifest	manifest, magician
relay	relay, reporter, receiver
negotiate	negotiator, negotiation
dam	dam, developer, diver, director
pedal	pedal, programmer
dissolve	designer, developer
withdraw	withdrawal
limit	limit, libertarian
seed	seed, scientist
foster	foster, fostering, founder
scare	scare, scientist
lie	liar, lie
advocate	advocate, activist, anarchist, analyst, advocacy, artist, author
pretend	philosopher, pretend, person
prize	philosopher, poet, prize
chain	chain, collective
reference	reference
clip	clip, cutter, curator, clipping, collector
wait	writer, worker
cough	chemist
parse	parser, programmer, philosopher, parse
formulate	
provoke	philosopher, poet, provocation
buck	
copyright	copyright, creator, collector
occupy	occupation, observer, object, operator
attend	attending, auditor, administrator, assistant
finger	finger
wake	
tank	tank, theorist
place	person, producer
suppress	scientist, state
freak	freak, fan
loved	
headline	headline
facilitate	
field	field, farmer
draft	designer, draft, developer
ram	
establish	engineer, entrepreneur, economist, educator
amend	activist, administrator, author, architect, agent, artist
eye	eye, expert
strain	strain
circle	circle, chemist, creator
bed	
resemble	researcher
tape	tape, technician
KNOW	
procure	purchaser
compare	critic, comparison, curator
rival	
skirt	skirt
harm	hacker, hack
undermine	
void	void, vandal
favor	
project	programmer, project, person, philosopher
butter	butter, baker, butcher
