pred1	pred1Role	pred2	pred2Role	score
A2	0	V7	1	-0.26780930944709397
A3	0	V7	1	1.1810206930051177
A4	0	V7	1	0.2610066021057075
A5	0	V7	1	-2.8532322265985437
A6	0	V7	1	0.8126983282335337
A7	0	V7	1	-0.23336216647179972
A8	0	V7	1	0.8697527249078196
A9	0	V7	1	-0.9817084440080551
A0	0	V8	1	0.741471681926233
A1	0	V8	1	-0.7505546466107957
A2	0	V8	1	0.0013986325738156772
A3	0	V8	1	0.6476011247985292
A4	0	V8	1	1.0432844673818498
A5	0	V8	1	-7.339471546790618
A6	0	V8	1	-0.2532440559060805
A7	0	V8	1	-1.0519317617617876
A8	0	V8	1	0.8076316169904143
A9	0	V8	1	-0.7049102451160583
A0	0	V9	1	-0.38992133235078275
A1	0	V9	1	-1.037201176727914
A2	0	V9	1	0.8991792006774768
A3	0	V9	1	-0.6050221731011852
A4	0	V9	1	0.3370486955346765
A5	0	V9	1	-5.504461235890534
A6	0	V9	1	-0.42841741324129046
A7	0	V9	1	-1.6142612141304178
A8	0	V9	1	0.477212087331311
A9	0	V9	1	1.385416357945618
P0	0	V0	2	0.47621708366169724
P1	0	V0	2	0.6173762804197596
P2	0	V0	2	-0.5893116682539177
P3	0	V0	2	0.5849537907581246
P4	0	V0	2	-0.028305603639794872
P5	0	V0	2	-2.7467819037579337
P6	0	V0	2	-1.5913553800937097
P7	0	V0	2	-0.09812038773149619
P8	0	V0	2	0.22065624312101143
P9	0	V0	2	-0.3136566135847615
P0	0	V1	2	-1.684285951585513
P1	0	V1	2	-0.9146238062624364
P2	0	V1	2	-0.19857421506504302
P3	0	V1	2	0.38462284588154066
P4	0	V1	2	-0.7719425888536124
P5	0	V1	2	0.6330898703495633
P6	0	V1	2	-0.4818490280182942
P7	0	V1	2	0.4165073979820628
P8	0	V1	2	-3.814386122464825
P9	0	V1	2	1.1424831581608013
P0	0	V2	2	-0.009988314727927355
P1	0	V2	2	-11.943233474152247
P2	0	V2	2	0.35243967138665255
P3	0	V2	2	-0.5585406941713453
P4	0	V2	2	-5.21422790179991
P5	0	V2	2	1.6928716217288318
P6	0	V2	2	-1.253579054780175
P7	0	V2	2	0.24578457961088873
P8	0	V2	2	1.1409361318152271
P9	0	V2	2	-0.4572619355869896
P0	0	V3	2	0.0735317528640184
P1	0	V3	2	-0.5920941783922739
P2	0	V3	2	-1.5968850344744128
P3	0	V3	2	-0.8485737452627963
P4	0	V3	2	0.3982082226023969
P5	0	V3	2	-2.050416064773693
P6	0	V3	2	1.923506517853982
P7	0	V3	2	0.6811842579972082
P8	0	V3	2	-0.2976665286939185
P9	0	V3	2	-3.741164169910136
P0	0	V4	2	-0.9305736918180021
P1	0	V4	2	0.6391903234721974
P2	0	V4	2	0.22232730016605862
P3	0	V4	2	-0.5621403584029223
P4	0	V4	2	0.8901570393026537
P5	0	V4	2	0.43852334708522905
P6	0	V4	2	0.006221089046030982
P7	0	V4	2	-0.9079833745208514
P8	0	V4	2	-2.1919924719584367
P9	0	V4	2	0.39594041930948015
P0	0	V5	2	-0.13872117001033932
P1	0	V5	2	-0.5689203768464182
P2	0	V5	2	0.4134163329128538
P3	0	V5	2	0.4800720019532792
P4	0	V5	2	-2.952784769690984
P5	0	V5	2	1.0040065288184654
P6	0	V5	2	-0.02256446474465404
P7	0	V5	2	-1.1248678795308176
P8	0	V5	2	-1.275228270720321
P9	0	V5	2	0.5902952565782398
P0	0	V6	2	0.32875769642294084
P1	0	V6	2	-0.162620362130734
P2	0	V6	2	0.4398882076311352
P3	0	V6	2	-1.4262473110981466
P4	0	V6	2	-1.4951520654208783
P5	0	V6	2	1.0774515352199194
P6	0	V6	2	-0.6248746664183625
P7	0	V6	2	0.7617803869656208
P8	0	V6	2	0.7711122168946097
P9	0	V6	2	-1.2915419260767418
P0	0	V7	2	-1.5690340341535407
P1	0	V7	2	-1.7337774068304483
P2	0	V7	2	1.3116885072066662
P3	0	V7	2	-1.2379729752866215
P4	0	V7	2	-0.7828594951701995
P5	0	V7	2	-0.07298579238220111
P6	0	V7	2	0.723922538889527
P7	0	V7	2	-0.3950333931958489
P8	0	V7	2	-0.4151877682693835
P9	0	V7	2	1.0316473712246308
P0	0	V8	2	-2.2039748240525525
P1	0	V8	2	0.49116749204159954
P2	0	V8	2	0.3240099360389257
P3	0	V8	2	-4.919676588686116
P4	0	V8	2	0.23282170744722258
P5	0	V8	2	-1.262313229215707
P6	0	V8	2	1.4874348488852371
P7	0	V8	2	0.9175376210846016
P8	0	V8	2	-0.03951630089942607
P9	0	V8	2	-1.2571919800723101
P0	0	V9	2	0.6413231362829963
P1	0	V9	2	-3.0200626355315054
P2	0	V9	2	0.25839413977193065
P3	0	V9	2	0.46004034360464297
P4	0	V9	2	-0.09736932475073305
P5	0	V9	2	0.2061694091895859
P6	0	V9	2	-0.750402366061723
P7	0	V9	2	-1.7269818153176468
P8	0	V9	2	0.6540236981563463
P9	0	V9	2	0.20880986061046128
